meld,hand-strength,AiBid,didPartnerBid,DidPartnerMeldBid,DidPartnerPass,handCounter,scoreCounter,lastBid,BidPassOrMeldBid
7,12.5,true,false,false,true,1,0,23,bid
1,14.5,true,true,true,true,3,28,24,pass
6,3.0,false,false,false,true,1,0,23,pass
0,10.75,false,false,false,true,4,10,21,pass
4,8.0,false,false,false,true,3,29,23,pass
0,10.0,false,false,false,true,4,-11,21,pass
5,11.0,false,false,false,true,1,0,23,pass
1,17.75,true,true,true,true,3,17,24,pass
14,13.0,true,false,false,true,2,6,21,bid
5,8.75,false,false,false,true,3,5,32,pass
6,8.25,false,false,false,true,2,-39,24,pass
1,9.5,false,false,false,true,2,39,33,pass
12,9.5,true,false,false,true,1,0,21,bid
13,12.5,true,false,false,true,3,-34,24,bid
7,12.5,true,true,true,true,3,14,24,bid
12,5.25,false,false,false,true,3,-21,34,pass
5,16.75,false,false,false,true,2,31,23,pass
5,12.25,false,false,false,true,4,-23,21,bid
0,8.75,false,false,false,true,4,-10,23,pass
0,10.75,false,false,false,true,1,0,24,pass
8,12.25,true,false,false,true,2,15,23,bid
4,11.75,false,false,false,true,4,0,21,bid
2,9.75,false,false,false,true,1,0,21,pass
9,8.25,false,false,false,true,4,-30,24,bid
15,14.25,true,false,false,true,4,14,32,bid
4,13.75,false,false,false,true,3,1,21,pass
4,18.25,true,false,false,true,2,37,22,bid
6,6.75,false,false,false,true,2,-14,22,pass
2,9.0,false,false,false,true,3,38,33,pass
4,10.5,false,false,false,true,3,19,24,pass
1,7.5,false,false,false,true,2,5,31,pass
0,11.25,false,false,false,true,4,-34,33,pass
1,10.5,false,false,false,true,3,12,22,pass
4,12.5,false,false,false,true,4,10,24,pass
4,13.0,false,false,false,true,1,0,21,bid
6,8.75,false,false,false,true,1,0,22,pass
6,20.75,true,false,false,true,4,14,23,bid
0,12.25,true,true,true,true,2,-7,23,bid
1,9.75,true,true,true,true,1,0,22,bid
6,8.0,true,true,true,true,3,29,24,bid
3,11.5,false,false,false,true,4,34,31,pass
9,10.0,true,false,false,true,1,0,21,bid
6,11.5,true,false,false,true,2,-35,21,bid
0,13.0,false,false,false,true,2,-28,21,bid
1,12.5,false,false,false,true,3,31,31,pass
9,15.25,true,false,false,true,2,6,21,bid
4,8.0,false,false,false,true,4,21,22,pass
1,15.5,false,false,false,true,2,-6,24,pass
4,14.0,false,false,false,true,2,-38,22,bid
6,14.5,false,false,false,true,3,-23,32,pass
9,13.5,true,false,false,true,4,10,21,bid
6,8.25,false,false,false,true,4,40,23,pass
5,9.5,true,true,true,true,2,-1,23,bid
8,5.5,false,false,false,true,2,3,23,pass
1,15.75,false,false,false,true,4,-11,31,pass
5,11.75,false,false,false,true,3,-1,23,bid
6,11.75,false,false,false,true,3,22,32,pass
5,15.0,false,false,false,true,1,0,24,pass
8,8.5,true,false,false,true,1,0,21,bid
0,15.0,false,false,false,true,4,35,22,pass
0,14.5,false,false,false,true,2,-38,24,pass
1,10.25,false,false,false,true,3,7,21,pass
5,14.5,true,false,false,true,3,12,22,bid
1,13.0,false,false,false,true,3,21,24,pass
7,14.75,true,false,false,true,3,-28,21,bid
0,13.25,false,false,false,true,1,0,21,pass
11,16.0,true,false,false,true,2,-33,23,bid
4,12.75,true,true,true,true,2,20,23,bid
4,11.25,false,false,false,true,2,-15,23,pass
2,11.25,false,false,false,true,4,20,24,pass
0,14.25,false,false,false,true,3,10,23,pass
4,12.5,false,false,false,true,1,0,31,pass
2,14.5,false,false,false,true,4,-37,21,bid
12,7.25,true,true,true,true,2,-13,24,bid
6,10.0,false,false,false,true,4,22,21,pass
0,9.75,true,true,true,true,2,37,23,bid
4,8.5,false,false,false,true,4,-29,22,pass
15,14.5,true,false,false,true,3,-37,22,bid
4,16.75,false,false,false,true,3,-35,23,bid
1,5.75,false,true,true,true,1,0,22,pass
0,11.0,false,false,false,true,1,0,24,pass
8,14.5,true,true,true,true,3,-25,23,bid
3,7.5,false,false,false,true,4,-22,21,pass
1,11.25,false,true,false,true,2,-13,30,pass
9,9.25,false,true,true,true,3,30,30,pass
6,8.75,false,false,false,true,4,-14,30,bid
0,10.25,true,true,true,true,1,0,22,bid
